ClientID,LocationID,Product,Longitude,Latitude
1,13,5,-74.11818856236133,4.683166312717828
2,14,10,-74.09614643132555,4.709506141183739
3,15,10,-74.11733099443472,4.727898892788284
4,16,6,-74.06168478791987,4.762362666148266
5,17,5,-74.09738579644561,4.592061451325163
6,18,7,-74.14368177604086,4.566156444731622
7,19,7,-74.15303671640015,4.567785960182321
8,20,13,-74.12817495193158,4.59495587478032
9,21,8,-74.12814563765214,4.724298684502334
10,22,9,-74.11361753380092,4.688778213608451
11,23,5,-74.02647349175439,4.699835799363962
12,24,5,-74.08656982578489,4.585697457999338
13,25,6,-74.15814493057553,4.607996766947213
14,26,5,-74.15380450749029,4.673773718915658
15,27,7,-74.1473807615931,4.668633622298872
16,28,6,-74.15170556383438,4.684736860200222
17,29,10,-74.10775914897563,4.704679645470626
18,30,5,-74.11398195973558,4.667790128085512
19,31,10,-74.09222054989797,4.619256995612766
20,32,12,-74.08264457941975,4.674631492594158
21,33,8,-74.03232923412155,4.750305449362579
22,34,5,-74.03485418655347,4.743259557977021
23,35,13,-74.12052152670252,4.601889771758059
24,36,6,-74.08864754049895,4.626696877438035
25,37,10,-74.13948560244984,4.610240586300641
26,38,8,-74.08631295860823,4.631636766744868
27,39,8,-74.06441844516262,4.762650679397573
28,40,8,-74.07786337144441,4.535221665806966
29,41,8,-74.18321766986693,4.607012644227998
30,42,7,-74.0537230892104,4.725336243507124
