ClientID,LocationID,Product,Longitude,Latitude
1,13,13,-74.09893796560621,4.59795431125545
2,14,15,-74.07557103763986,4.687820646838871
3,15,12,-74.10708524062704,4.70949446000624
4,16,15,-74.09727965657427,4.605029068682624
5,17,20,-74.16464148202755,4.648463876533332
6,18,17,-74.12083799988112,4.662137416953968
7,19,17,-74.02213076607309,4.697499030379109
8,20,20,-74.17207549744595,4.649416884236942
9,21,20,-74.15615257246444,4.606310650273935
10,22,15,-74.09041145358674,4.557379705282216
11,23,17,-74.17802255204528,4.591594072172954
12,24,12,-74.1015410917749,4.7564172406324055
13,25,21,-74.09690889182339,4.646217006050524
14,26,15,-74.1219200708342,4.725912125314368
15,27,17,-74.0942948461378,4.604168478560718
16,28,10,-74.11138839002187,4.557320898243896
17,29,25,-74.12463941285208,4.615869066082658
18,30,12,-74.12456164551857,4.656402930181292
19,31,11,-74.04990580408855,4.706188309535041
20,32,15,-74.121866801394,4.746624762561149
21,33,14,-74.02454895778163,4.746517184687941
22,34,18,-74.08683592702927,4.625425626584072
23,35,15,-74.11652648751144,4.731406773645735
24,36,11,-74.12629327283491,4.577489966973782
